Row Number,Area,Region,Territory,Rep ID,IDN,Account,Clinical Focus Area,Target Type,Product Line,Category,GPO,Total Units Sold,Opportunity ($),Net Cost To Customer ($),Rolling 12 Sales ($),# Codes on Account Shelf,# Codes in System,# Codes in Neither,2025 Penetration %,2024 Penetration %,2023 Penetration %,3 Month Trend,6 Month Trend,9 Month Trend,CY Market Exposure %,PY Market Exposure %
103,Southeast,Carolinas,CA-301,REP-38905,Dignity Health,St. Mary's Health System,General Surgery,Tier 3,Beta Series,Service Contract,Provista,1570,629410.73,439702.56,316267.47,18,3,4,0.8038,0.8351,0.5385,0.8403,0.1374,0.7471,0.3505,0.5944
104,Northeast,New England,NE-102,REP-14224,SSM Health,Summit Health System,Cardiovascular,Non-Target,Alpha Series,Disposables,Premier,1710,603209.74,456472.98,519408.24,19,13,2,0.7005,0.8102,0.8288,0.8249,0.6131,0.5791,0.3783,0.1426
105,Midwest,Central Plains,CP-702,REP-77425,Tenet Healthcare,Riverside General Hospital,Cardiovascular,Tier 3,Beta Series,Disposables,Premier,349,583546.14,465987.58,461654.68,12,15,2,0.6753,0.4747,0.5692,0.5068,0.6703,0.8921,0.1012,0.3336
106,Midwest,Central Plains,CP-702,REP-73968,Intermountain Health,Coastal Medical Center,Women's Health,Tier 1,Delta Series,Accessories,None,179,646758.44,432884.97,581514.58,6,15,4,0.5099,0.4843,0.6558,0.2175,0.8672,0.8095,0.5418,0.4692
107,Northeast,New England,NE-103,REP-70238,Ascension Health,Valley Regional Hospital,Neurology,Non-Target,Alpha Series,Service Contract,Premier,1460,732055.41,596364.79,195081.99,8,2,10,0.5343,0.3536,0.7319,0.684,0.1466,0.663,0.4493,0.4654
108,Southwest,Texas,TX-803,REP-22475,Ascension Health,Lakeside General Hospital,Cardiovascular,Tier 2,Beta Series,Service Contract,Vizient,66,571697.83,454575.64,593129.85,13,4,7,0.346,0.549,0.775,0.1922,0.382,0.8929,0.1254,0.4754
109,Southeast,Gulf Coast,GC-501,REP-18966,Ascension Health,Coastal Regional Hospital,Neurology,Tier 3,Beta Series,Disposables,Intalere,1311,564924.63,456452.75,70279.06,3,4,1,0.6832,0.5496,0.9261,0.3831,0.2258,0.3493,0.0963,0.3544
110,West,California,CA-1103,REP-13515,Dignity Health,Lakeside Community Hospital,Oncology,Tier 2,Delta Series,Accessories,MedAssets,161,637851.2,502711.84,158817.82,12,3,3,0.6247,0.6861,0.6434,0.9799,0.9882,0.9405,0.1226,0.5234
111,West,California,CA-1102,REP-81612,Trinity Health,Capital General Hospital,Cardiovascular,Tier 1,Alpha Series,Capital Equipment,HealthTrust,491,79870.15,45377.48,477788.2,16,9,10,0.7632,0.7986,0.5753,0.462,0.6765,0.5839,0.134,0.096
112,Northeast,New England,NE-101,REP-80305,Intermountain Health,Parkview Community Hospital,Women's Health,Tier 1,Gamma Series,Service Contract,MedAssets,1783,228978.04,142732.07,556284.1,3,14,9,0.6957,0.501,0.7821,0.7666,0.2075,0.7371,0.4358,0.1401
113,Midwest,Central Plains,CP-701,REP-58741,Providence Health,Metro Health System,Women's Health,Tier 1,Alpha Series,Accessories,None,929,253985.45,144558.76,433147.48,18,2,7,0.5959,0.5341,0.6247,0.6102,0.4309,0.3296,0.1066,0.3657
114,Northeast,New England,NE-103,REP-76692,Ascension Health,St. Mary's Medical Center,General Surgery,Tier 1,Delta Series,Accessories,Intalere,1934,162563.5,134821.72,517341.41,17,13,3,0.5092,0.5706,0.7682,0.3441,0.1701,0.4355,0.3261,0.5461
115,Southeast,Carolinas,CA-301,REP-62550,HCA Healthcare,Memorial General Hospital,Orthopedics,Tier 3,Gamma Series,Capital Equipment,Provista,985,55976.88,34157.17,347007.91,9,7,7,0.5394,0.9317,0.9486,0.7983,0.7592,0.5919,0.4878,0.1328
116,Southwest,Texas,TX-801,REP-80981,LifePoint Health,Central Medical Center,Orthopedics,Tier 1,Delta Series,Accessories,Vizient,470,447360.87,278012.54,305376.75,1,4,4,0.3605,0.8988,0.8832,0.5678,0.7308,0.4352,0.586,0.0967
117,Northeast,New England,NE-103,REP-61688,HCA Healthcare,Coastal Community Hospital,Cardiovascular,Non-Target,Beta Series,Disposables,HealthTrust,584,688185.28,569688.44,247912.55,10,10,7,0.4768,0.3485,0.4318,0.8019,0.6262,0.2399,0.1404,0.3063
118,Southwest,Texas,TX-803,REP-56961,Advocate Aurora,Mercy Health System,Neurology,Tier 3,Alpha Series,Capital Equipment,Premier,1703,564541.13,450456.4,424189.23,1,6,5,0.3964,0.7623,0.9295,0.4566,0.1441,0.369,0.501,0.1456
119,Southwest,Mountain West,MW-901,REP-22415,SSM Health,Valley Regional Hospital,Cardiovascular,Tier 1,Alpha Series,Disposables,Premier,455,667755.06,441834.77,385572.58,20,2,9,0.681,0.8963,0.3487,0.9974,0.278,0.6814,0.4951,0.1006
120,Midwest,Great Lakes,GL-601,REP-70423,CommonSpirit Health,Riverside Community Hospital,Neurology,Non-Target,Delta Series,Capital Equipment,Intalere,1449,369998.01,242786.4,546816.45,8,8,7,0.8742,0.3225,0.7025,0.3212,0.3656,0.4708,0.3529,0.0835
121,Midwest,Central Plains,CP-701,REP-64949,Advocate Aurora,Central Community Hospital,General Surgery,Tier 1,Delta Series,Accessories,Intalere,1165,636076.33,415491.57,348077.65,10,12,4,0.4169,0.5073,0.4424,0.9062,0.8007,0.1527,0.5953,0.3412
122,West,Pacific Northwest,PN-1001,REP-23124,Atrium Health,Central Regional Hospital,Orthopedics,Tier 1,Beta Series,Service Contract,HealthTrust,1965,679416.69,545956.34,122138.21,18,10,5,0.8941,0.3183,0.7554,0.9528,0.6072,0.6068,0.1535,0.5934
123,Southwest,Mountain West,MW-901,REP-74282,CommonSpirit Health,Valley Medical Center,General Surgery,Tier 2,Alpha Series,Service Contract,Vizient,729,738422.14,450761.91,95683.94,5,10,0,0.3142,0.6813,0.8962,0.7969,0.8618,0.8746,0.5783,0.2555
124,Southwest,Texas,TX-802,REP-49552,Intermountain Health,Riverside Regional Hospital,Women's Health,Non-Target,Delta Series,Accessories,Premier,1498,776557.17,588683.23,558730.22,11,7,10,0.6828,0.414,0.4994,0.7196,0.2146,0.7559,0.5718,0.5718
125,Southwest,Texas,TX-801,REP-88956,Intermountain Health,Memorial Community Hospital,General Surgery,Tier 1,Delta Series,Disposables,HealthTrust,1576,108354.98,70868.82,205320.83,20,2,10,0.7154,0.8763,0.5903,0.3387,0.3246,0.161,0.1912,0.1094
126,Northeast,New England,NE-102,REP-67438,Piedmont Healthcare,Riverside General Hospital,Neurology,Non-Target,Gamma Series,Service Contract,Vizient,1747,409616.94,331468.26,397562.35,7,5,7,0.3479,0.8497,0.4917,0.3868,0.9565,0.1668,0.1436,0.2565
127,Northeast,New England,NE-102,REP-87860,Sutter Health,Metro Medical Center,Neurology,Tier 2,Delta Series,Disposables,Vizient,257,298320.93,251281.54,257382.32,17,8,10,0.483,0.4544,0.3323,0.6146,0.8559,0.2382,0.2485,0.2852
128,Midwest,Central Plains,CP-701,REP-22712,Ascension Health,Lakeside Regional Hospital,Women's Health,Tier 3,Alpha Series,Service Contract,None,286,281265.05,188233.88,303676.15,8,2,10,0.6537,0.4202,0.8756,0.4325,0.5012,0.337,0.3058,0.1744
129,Midwest,Great Lakes,GL-601,REP-97486,Tenet Healthcare,Valley Health System,Oncology,Non-Target,Beta Series,Capital Equipment,None,842,663803.91,448459.03,330598.36,15,7,7,0.4943,0.5566,0.8551,0.1313,0.6141,0.5651,0.3643,0.5905
130,Southeast,Carolinas,CA-302,REP-32659,Trinity Health,Lakeside Regional Hospital,General Surgery,Tier 1,Delta Series,Capital Equipment,MedAssets,941,201439.46,160500.76,105769.39,19,8,5,0.892,0.8942,0.3436,0.4493,0.4576,0.3935,0.2019,0.302
131,Northeast,Mid-Atlantic,MA-201,REP-64321,Providence Health,Riverside Community Hospital,Oncology,Tier 1,Alpha Series,Capital Equipment,None,635,700606.45,570322.19,529178.27,8,12,10,0.6156,0.6958,0.3244,0.3479,0.2295,0.6478,0.4315,0.0713
132,Midwest,Great Lakes,GL-601,REP-72287,Banner Health,Memorial Health System,Cardiovascular,Tier 3,Gamma Series,Accessories,HealthTrust,1776,418714.41,317743.46,76966.09,7,4,4,0.9332,0.588,0.8368,0.3425,0.4751,0.681,0.1534,0.1663
133,Southwest,Mountain West,MW-902,REP-17367,Trinity Health,Valley Health System,Women's Health,Non-Target,Beta Series,Capital Equipment,Premier,444,706385.42,431049.12,53423.96,1,14,0,0.8967,0.758,0.4781,0.8412,0.5546,0.6719,0.1181,0.0668
134,Midwest,Central Plains,CP-702,REP-33276,Sutter Health,Coastal Community Hospital,Orthopedics,Tier 3,Beta Series,Accessories,MedAssets,1751,566637.9,360110.18,244208.09,5,6,3,0.7208,0.7405,0.4749,0.4686,0.118,0.8023,0.4722,0.0549
135,Southeast,Gulf Coast,GC-501,REP-88792,Ascension Health,Lakeside Health System,Oncology,Tier 3,Gamma Series,Service Contract,Intalere,1794,311531.9,194894.24,290684.85,16,12,9,0.3665,0.6325,0.7305,0.859,0.4368,0.6826,0.385,0.2142
136,Northeast,Mid-Atlantic,MA-201,REP-54077,Banner Health,Central Health System,Orthopedics,Tier 3,Gamma Series,Disposables,Premier,1109,624105.79,511708.15,487149.3,19,12,10,0.5077,0.391,0.3165,0.5476,0.366,0.9162,0.2725,0.4552
137,West,Pacific Northwest,PN-1002,REP-39145,Sutter Health,Memorial Health System,Oncology,Tier 3,Beta Series,Disposables,HealthTrust,249,403085.65,311293.24,440608.25,17,5,10,0.8847,0.7254,0.4445,0.301,0.8843,0.4784,0.5378,0.2544
138,West,California,CA-1102,REP-25437,Sutter Health,St. Mary's Community Hospital,Oncology,Tier 1,Delta Series,Disposables,Provista,295,700623.32,465564.73,193046.34,1,4,2,0.945,0.5227,0.9417,0.9036,0.988,0.2289,0.5243,0.1492
139,Northeast,Mid-Atlantic,MA-202,REP-92710,Trinity Health,Horizon Medical Center,Cardiovascular,Non-Target,Gamma Series,Disposables,None,1634,176454.32,137518.81,303954.71,2,4,9,0.5819,0.5791,0.5789,0.5297,0.1042,0.5804,0.4519,0.5725
140,Midwest,Great Lakes,GL-601,REP-98702,Ascension Health,Central Regional Hospital,General Surgery,Tier 3,Gamma Series,Disposables,Vizient,835,427502.36,274385.78,57866.47,1,9,4,0.5964,0.6382,0.6407,0.4903,0.7181,0.2204,0.5979,0.3196
141,Southeast,Carolinas,CA-302,REP-12506,Atrium Health,Lakeside Regional Hospital,General Surgery,Tier 1,Beta Series,Capital Equipment,HealthTrust,1506,537905.29,301877.31,528395.6,8,1,9,0.9465,0.7303,0.7248,0.1178,0.7208,0.4751,0.2591,0.351
142,Southwest,Texas,TX-801,REP-99881,Ascension Health,Summit General Hospital,Women's Health,Tier 1,Gamma Series,Disposables,Intalere,1751,723966.44,509292.61,378264.81,9,3,1,0.6235,0.6959,0.8057,0.8483,0.9758,0.4221,0.2754,0.1382
143,West,California,CA-1101,REP-73001,Intermountain Health,Lakeside Medical Center,Cardiovascular,Tier 1,Alpha Series,Service Contract,Premier,1994,117562.01,82706.24,439666.9,3,8,10,0.4503,0.9426,0.4924,0.5178,0.1898,0.2572,0.0717,0.2098
144,Midwest,Central Plains,CP-701,REP-22451,CommonSpirit Health,St. Mary's Regional Hospital,Women's Health,Tier 2,Gamma Series,Accessories,Intalere,1323,251232.05,193428.68,236120.85,10,5,1,0.5605,0.9255,0.4767,0.4471,0.8656,0.8199,0.4069,0.4883
145,Northeast,New England,NE-103,REP-17686,Trinity Health,Valley General Hospital,Oncology,Non-Target,Delta Series,Disposables,Provista,827,634373.22,465254.09,520293.95,4,15,7,0.3734,0.5673,0.3299,0.3355,0.3828,0.7341,0.4229,0.4721
146,West,Pacific Northwest,PN-1002,REP-78039,Tenet Healthcare,Parkview Regional Hospital,Neurology,Tier 3,Delta Series,Disposables,None,1742,468758.18,396727.62,51648.35,20,5,8,0.8517,0.8537,0.8651,0.1674,0.5425,0.3168,0.5836,0.0777
147,Southeast,Gulf Coast,GC-502,REP-62858,Atrium Health,Valley General Hospital,Neurology,Non-Target,Alpha Series,Service Contract,Intalere,697,139030.14,97211.54,398956.34,3,12,6,0.3233,0.6569,0.8368,0.8126,0.9669,0.6738,0.5396,0.3593
148,Southwest,Mountain West,MW-902,REP-17113,Atrium Health,University General Hospital,Orthopedics,Non-Target,Gamma Series,Service Contract,Vizient,249,619489.96,381930.51,217987.13,20,9,8,0.6393,0.7564,0.3298,0.2477,0.2264,0.7452,0.4469,0.1088
149,West,Pacific Northwest,PN-1001,REP-25826,Northwell Health,Lakeside General Hospital,General Surgery,Tier 3,Alpha Series,Service Contract,Vizient,1947,524930.35,394559.98,91467.13,14,14,10,0.6831,0.6277,0.9265,0.1039,0.7626,0.5979,0.288,0.3718
150,West,Pacific Northwest,PN-1001,REP-26827,Tenet Healthcare,Parkview Community Hospital,Oncology,Tier 3,Delta Series,Service Contract,Provista,1925,569386.65,355565.81,250764.6,10,9,7,0.8231,0.3898,0.6916,0.8978,0.5611,0.8588,0.3513,0.2227
151,West,Pacific Northwest,PN-1001,REP-37487,Dignity Health,Central Health System,Women's Health,Tier 2,Beta Series,Accessories,MedAssets,286,620581.27,446001.87,358027.64,13,9,6,0.8254,0.6398,0.3164,0.2308,0.7032,0.2799,0.4626,0.1385
152,Midwest,Central Plains,CP-701,REP-18130,Dignity Health,Lakeside Community Hospital,Cardiovascular,Tier 3,Delta Series,Capital Equipment,Provista,1827,556644.51,399985.54,150098.28,20,12,3,0.6321,0.8179,0.7525,0.7236,0.1423,0.4434,0.2791,0.4835
153,Midwest,Great Lakes,GL-601,REP-42943,Advocate Aurora,Coastal General Hospital,General Surgery,Tier 3,Beta Series,Disposables,HealthTrust,969,183069.42,138180.37,128446.42,5,3,6,0.3264,0.4814,0.4718,0.2448,0.8614,0.1051,0.3065,0.5656
154,Northeast,New England,NE-102,REP-88234,CommonSpirit Health,Capital Community Hospital,Women's Health,Tier 3,Delta Series,Accessories,Vizient,1655,580761.17,410957.36,575052.88,16,2,8,0.4036,0.653,0.5622,0.4145,0.8951,0.697,0.2321,0.2115
155,West,California,CA-1103,REP-95105,Ascension Health,Valley Health System,Neurology,Tier 2,Beta Series,Capital Equipment,MedAssets,1863,290702.76,239765.74,568092.85,12,8,8,0.7706,0.3161,0.636,0.7934,0.5629,0.5579,0.3177,0.213
156,Southeast,Florida,FL-403,REP-20793,Tenet Healthcare,Riverside Community Hospital,Oncology,Tier 1,Alpha Series,Disposables,MedAssets,1339,630186.7,510126.84,266041.48,3,6,8,0.8387,0.8711,0.7819,0.4917,0.8351,0.1649,0.4273,0.0631
157,Midwest,Great Lakes,GL-601,REP-19600,CommonSpirit Health,Riverside Health System,Oncology,Tier 1,Beta Series,Accessories,Intalere,844,388344.25,260708.86,203514.46,12,3,8,0.3038,0.7682,0.3411,0.7714,0.141,0.8634,0.2467,0.3266
158,Midwest,Central Plains,CP-701,REP-46899,SSM Health,Parkview General Hospital,Women's Health,Tier 1,Delta Series,Disposables,Provista,500,152286.1,101620.17,482541.08,17,9,10,0.3936,0.7402,0.8942,0.8155,0.7564,0.4358,0.5722,0.3544
159,West,Pacific Northwest,PN-1001,REP-15475,Ascension Health,Coastal Community Hospital,Neurology,Tier 1,Gamma Series,Disposables,MedAssets,1568,727659.78,475274.98,259339.61,20,4,2,0.4196,0.701,0.4643,0.2032,0.7039,0.6106,0.0799,0.4631
160,West,California,CA-1103,REP-82045,HCA Healthcare,Summit Medical Center,Orthopedics,Tier 1,Beta Series,Service Contract,HealthTrust,781,146161.36,109130.19,78026.13,19,2,3,0.5066,0.5929,0.7006,0.3751,0.6258,0.609,0.2505,0.224
161,Southwest,Texas,TX-801,REP-51053,Atrium Health,Capital Regional Hospital,Women's Health,Non-Target,Gamma Series,Accessories,Premier,1441,599729.6,487799.52,288452.06,11,9,7,0.6586,0.4143,0.6943,0.8576,0.8728,0.226,0.3462,0.1948
162,Northeast,New England,NE-101,REP-76476,Ascension Health,University Community Hospital,Oncology,Non-Target,Beta Series,Capital Equipment,Provista,583,457601.99,388787.09,293820.29,4,11,6,0.4451,0.8019,0.7766,0.3619,0.5182,0.5594,0.2682,0.3262
163,Southeast,Gulf Coast,GC-501,REP-77388,Providence Health,Mercy Regional Hospital,General Surgery,Tier 2,Delta Series,Accessories,Vizient,498,621104.28,384789.61,173327.13,7,1,10,0.4344,0.89,0.5348,0.5227,0.5092,0.1418,0.5893,0.2282
164,West,California,CA-1103,REP-44513,Trinity Health,Parkview General Hospital,Orthopedics,Tier 1,Gamma Series,Service Contract,Premier,1107,354381.65,281794.02,220118.75,15,0,8,0.8733,0.5859,0.4495,0.5631,0.3527,0.2352,0.1365,0.3811
165,Northeast,New England,NE-102,REP-53283,Tenet Healthcare,Mercy General Hospital,Neurology,Tier 2,Beta Series,Service Contract,Vizient,549,82358.25,59466.44,113454.9,20,1,9,0.3955,0.4081,0.8996,0.565,0.4649,0.9723,0.4007,0.5332
166,Midwest,Great Lakes,GL-601,REP-68877,Sutter Health,University General Hospital,General Surgery,Tier 2,Delta Series,Disposables,None,1243,665339.89,402241.37,402596.28,8,5,10,0.5227,0.5948,0.6839,0.3068,0.4469,0.1977,0.1613,0.5228
167,West,California,CA-1101,REP-89365,Tenet Healthcare,Riverside General Hospital,Oncology,Tier 1,Alpha Series,Capital Equipment,Intalere,1400,147746.63,108009.05,499962.63,20,13,8,0.5734,0.8686,0.7535,0.4861,0.9446,0.5339,0.4728,0.2428
168,West,Pacific Northwest,PN-1002,REP-27548,Banner Health,Mercy Regional Hospital,Cardiovascular,Tier 3,Delta Series,Accessories,Premier,61,581861.63,457824.29,355232.54,3,0,6,0.7255,0.747,0.5053,0.426,0.2393,0.6864,0.1895,0.5202
169,Southwest,Mountain West,MW-902,REP-99208,Northwell Health,Capital Regional Hospital,Neurology,Non-Target,Beta Series,Accessories,Provista,1186,412820.12,349473.9,355037.67,12,4,10,0.3774,0.4494,0.809,0.9543,0.1903,0.5575,0.4823,0.4905
170,West,Pacific Northwest,PN-1001,REP-61000,Ascension Health,Capital Medical Center,General Surgery,Non-Target,Delta Series,Capital Equipment,Vizient,588,216327.68,124174.67,41898.1,12,12,9,0.7265,0.4862,0.9263,0.1517,0.7962,0.2577,0.3219,0.0559
171,West,California,CA-1101,REP-14405,Atrium Health,Coastal Regional Hospital,Women's Health,Tier 1,Gamma Series,Disposables,MedAssets,50,781734.43,450320.34,180043.38,12,11,10,0.5568,0.681,0.6365,0.7632,0.1618,0.1811,0.2065,0.5064
172,West,California,CA-1102,REP-46242,Atrium Health,Coastal Regional Hospital,Neurology,Non-Target,Alpha Series,Accessories,Premier,883,429678.57,308332.71,311838.12,10,3,8,0.9219,0.8695,0.8285,0.6174,0.7248,0.9694,0.3597,0.4735
173,Midwest,Central Plains,CP-702,REP-86916,Ascension Health,Mercy Medical Center,Orthopedics,Tier 1,Delta Series,Disposables,MedAssets,1486,222447.6,143416.24,574158.5,16,0,4,0.4614,0.3605,0.7379,0.839,0.1684,0.9383,0.3121,0.2444
174,West,California,CA-1101,REP-99536,Advocate Aurora,Mercy Regional Hospital,General Surgery,Tier 2,Gamma Series,Disposables,Premier,465,676205.36,541573.15,226495.88,3,3,1,0.7393,0.7312,0.699,0.7878,0.5873,0.138,0.3153,0.3914
175,Southwest,Mountain West,MW-902,REP-33969,Banner Health,Parkview Regional Hospital,Oncology,Tier 2,Alpha Series,Service Contract,Intalere,1974,455575.96,319241.47,248355.82,5,14,1,0.7539,0.599,0.748,0.1106,0.2897,0.6229,0.229,0.387
176,Midwest,Great Lakes,GL-603,REP-44452,Atrium Health,Summit General Hospital,Oncology,Tier 3,Gamma Series,Disposables,Intalere,918,207899.36,158047.96,235939.58,12,8,7,0.4169,0.3852,0.6743,0.3057,0.1899,0.343,0.1797,0.2877
177,Southwest,Texas,TX-801,REP-29601,Sutter Health,Capital Medical Center,General Surgery,Non-Target,Delta Series,Disposables,None,1341,437755.23,335394.09,475493.1,9,8,8,0.858,0.331,0.3643,0.247,0.2939,0.3289,0.5114,0.103
178,Midwest,Central Plains,CP-702,REP-57226,Banner Health,Horizon Medical Center,Neurology,Tier 1,Gamma Series,Disposables,Provista,1229,537399.11,382376.38,588036.42,9,11,5,0.7376,0.6169,0.7787,0.9007,0.443,0.3579,0.3974,0.1297
179,Southeast,Gulf Coast,GC-502,REP-65288,Northwell Health,University Medical Center,Cardiovascular,Tier 2,Gamma Series,Disposables,HealthTrust,698,539759.82,411906.94,371123.28,12,8,7,0.8076,0.9102,0.7861,0.5688,0.5053,0.2506,0.5198,0.1188
180,Southeast,Gulf Coast,GC-502,REP-20494,Advocate Aurora,Riverside General Hospital,Cardiovascular,Tier 1,Alpha Series,Service Contract,Provista,160,69773.69,46685.84,463697.9,2,3,4,0.7018,0.3548,0.9055,0.4509,0.3064,0.7638,0.2937,0.1195
181,West,Pacific Northwest,PN-1001,REP-14607,LifePoint Health,University Health System,Neurology,Non-Target,Gamma Series,Service Contract,Premier,1992,573217.16,345713.57,366598.84,20,13,8,0.7159,0.647,0.8908,0.5335,0.3044,0.1806,0.2193,0.2767
182,Southeast,Florida,FL-401,REP-10012,Providence Health,Horizon Health System,Neurology,Tier 1,Delta Series,Service Contract,HealthTrust,68,624401.9,492896.26,366262.18,0,11,3,0.5676,0.6644,0.5566,0.2469,0.7634,0.4508,0.2581,0.1946
183,Southwest,Texas,TX-803,REP-90375,Banner Health,Summit Community Hospital,Orthopedics,Non-Target,Beta Series,Capital Equipment,Premier,329,267196.47,198010.7,378283.06,8,15,3,0.5084,0.3989,0.9303,0.1199,0.9751,0.3539,0.1188,0.2911
184,Northeast,New England,NE-101,REP-29750,Ascension Health,Mercy Regional Hospital,Orthopedics,Non-Target,Gamma Series,Service Contract,HealthTrust,999,572701.1,320438.37,66529.4,4,1,4,0.8042,0.3464,0.6056,0.273,0.8574,0.8355,0.5055,0.1171
185,Southeast,Florida,FL-402,REP-42396,CommonSpirit Health,Lakeside General Hospital,Women's Health,Tier 1,Beta Series,Service Contract,Intalere,1445,770910.42,640522.16,111994.63,1,3,4,0.6128,0.4942,0.5343,0.1469,0.7,0.9759,0.1798,0.2888
186,Northeast,New England,NE-102,REP-86637,Tenet Healthcare,Parkview Regional Hospital,Cardiovascular,Tier 1,Delta Series,Disposables,HealthTrust,1628,117109.93,69950.88,73012.9,19,10,10,0.339,0.5311,0.4,0.5827,0.1967,0.5391,0.2242,0.3571
187,Midwest,Central Plains,CP-701,REP-12798,Northwell Health,Horizon Regional Hospital,Orthopedics,Tier 1,Delta Series,Service Contract,Provista,653,457050.56,318576.85,348687.01,17,11,5,0.7761,0.479,0.8404,0.923,0.5991,0.162,0.1353,0.2126
188,Midwest,Central Plains,CP-702,REP-10094,Northwell Health,Metro Regional Hospital,Cardiovascular,Tier 3,Beta Series,Accessories,MedAssets,179,543717.06,386956.34,244744.69,16,15,8,0.4002,0.484,0.5664,0.3898,0.1866,0.693,0.0741,0.5658
189,Southeast,Carolinas,CA-301,REP-24031,Sutter Health,Lakeside Medical Center,Cardiovascular,Non-Target,Delta Series,Accessories,Vizient,800,215542.09,164965.91,27589.94,6,15,1,0.6042,0.7153,0.5346,0.7691,0.9014,0.8398,0.4868,0.0821
190,West,California,CA-1103,REP-15328,HCA Healthcare,University Health System,Cardiovascular,Tier 2,Alpha Series,Capital Equipment,MedAssets,523,448745.79,272316.05,325191.37,7,5,8,0.787,0.5699,0.3686,0.6748,0.4222,0.5128,0.4159,0.5356
191,Southeast,Carolinas,CA-302,REP-76151,Intermountain Health,Central Regional Hospital,Oncology,Non-Target,Gamma Series,Accessories,Provista,714,683640.51,460570.65,387279.68,10,7,9,0.6547,0.5438,0.6577,0.7701,0.424,0.5072,0.5779,0.0501
192,Northeast,Mid-Atlantic,MA-203,REP-12136,Providence Health,Memorial Health System,Cardiovascular,Tier 3,Beta Series,Disposables,None,694,66276.03,52794.29,420037.13,8,4,1,0.3245,0.5312,0.39,0.4304,0.6239,0.3097,0.4961,0.1005
193,Southwest,Texas,TX-803,REP-20118,Intermountain Health,Capital General Hospital,General Surgery,Non-Target,Alpha Series,Accessories,Vizient,1546,656255.88,436058.3,472470.71,10,11,6,0.5707,0.8641,0.8654,0.304,0.6875,0.6421,0.0563,0.4776
194,Southwest,Texas,TX-802,REP-78731,CommonSpirit Health,Horizon Community Hospital,Oncology,Tier 2,Gamma Series,Disposables,Premier,153,555226.43,471503.94,583203.34,19,2,3,0.5808,0.8111,0.3962,0.4026,0.5283,0.7708,0.3515,0.1944
195,Southwest,Mountain West,MW-901,REP-27677,Sutter Health,Heritage Regional Hospital,Neurology,Non-Target,Beta Series,Disposables,Premier,196,249692.82,169546.35,417148.02,18,2,1,0.7366,0.5753,0.5264,0.3887,0.6345,0.1218,0.2177,0.5932
196,West,California,CA-1103,REP-29112,SSM Health,St. Mary's Regional Hospital,General Surgery,Tier 3,Beta Series,Capital Equipment,Vizient,1564,90903.51,75875.55,557503.22,9,0,5,0.751,0.3723,0.5925,0.1205,0.2881,0.5842,0.1621,0.3378
197,Midwest,Central Plains,CP-701,REP-97590,Ascension Health,Parkview Community Hospital,Women's Health,Tier 1,Gamma Series,Disposables,Vizient,631,200522.04,152187.81,177343.24,14,0,1,0.5526,0.4764,0.8539,0.6941,0.8779,0.1172,0.5271,0.4072
198,Southeast,Florida,FL-403,REP-23055,Intermountain Health,Mercy Community Hospital,Oncology,Tier 1,Beta Series,Disposables,Provista,987,470515.66,359351.99,43056.39,16,9,5,0.6185,0.7839,0.3119,0.7159,0.4198,0.3721,0.5978,0.5882
199,Midwest,Great Lakes,GL-603,REP-43774,Northwell Health,Memorial Medical Center,Oncology,Tier 3,Beta Series,Disposables,HealthTrust,1887,344634.95,203740.67,443336.01,16,7,6,0.4562,0.3993,0.9308,0.9188,0.3964,0.588,0.1637,0.1262
200,West,Pacific Northwest,PN-1001,REP-50501,Providence Health,Parkview Regional Hospital,Women's Health,Tier 2,Gamma Series,Capital Equipment,Provista,1141,761451.17,445841.99,204206.6,4,0,5,0.8721,0.5691,0.5673,0.4987,0.9404,0.9047,0.5633,0.2006
201,Southeast,Carolinas,CA-301,REP-34215,Ascension Health,Capital Community Hospital,Oncology,Tier 3,Beta Series,Disposables,Premier,1457,69563.37,39918.43,472299.22,4,15,10,0.5431,0.8539,0.6194,0.2238,0.2739,0.129,0.4705,0.0583
202,Midwest,Central Plains,CP-701,REP-97993,Advocate Aurora,Capital Regional Hospital,Cardiovascular,Tier 2,Delta Series,Service Contract,MedAssets,715,700081.18,571459.52,267982.3,1,12,5,0.5562,0.9104,0.6718,0.5825,0.6773,0.7337,0.0712,0.1101
203,Southwest,Texas,TX-801,REP-77987,Northwell Health,Metro Medical Center,Oncology,Non-Target,Alpha Series,Disposables,HealthTrust,950,348529.92,223535.33,500020.18,14,5,6,0.4914,0.8974,0.7485,0.9133,0.5172,0.6815,0.0997,0.3254
204,Southeast,Gulf Coast,GC-501,REP-61520,Piedmont Healthcare,Horizon General Hospital,Cardiovascular,Tier 2,Delta Series,Disposables,Intalere,234,237561.72,179956.62,546154.23,5,3,1,0.3742,0.5921,0.5359,0.5714,0.4457,0.812,0.3314,0.5724
205,Southwest,Mountain West,MW-901,REP-32398,Intermountain Health,Coastal Regional Hospital,General Surgery,Tier 2,Beta Series,Capital Equipment,Intalere,680,282138.73,220234.42,278829.78,20,5,1,0.8841,0.9243,0.3023,0.7889,0.111,0.5479,0.3243,0.4941
206,West,California,CA-1101,REP-38426,Sutter Health,Mercy General Hospital,Neurology,Tier 1,Alpha Series,Disposables,Provista,619,514824.53,369265.41,498646.45,1,5,2,0.3358,0.5269,0.3945,0.1292,0.6203,0.643,0.2321,0.0982
